date,value,Volume,Open,High,Low
8/30/2019,47.41,16923150,$47.24 ,$47.79 ,$47.16 
9/3/2019,46.98,15010270,$47.12 ,$47.22 ,$46.50 
9/4/2019,48.92,23472110,$47.56 ,$48.95 ,$47.54 
9/5/2019,50.1,30023120,$49.93 ,$51.17 ,$49.87 
9/6/2019,50.92,17067940,$50.25 ,$50.99 ,$50.07 
9/9/2019,51.59,20749660,$51.06 ,$52.03 ,$51.02 
9/10/2019,51.82,18532030,$51.33 ,$51.84 ,$50.83 
9/11/2019,52.79,18968940,$51.60 ,$52.79 ,$51.38 
9/12/2019,53.01,23308710,$53.00 ,$53.33 ,$52.07 
9/13/2019,52.54,18010810,$52.76 ,$53.00 ,$52.23 
9/16/2019,52.2,13354590,$51.90 ,$52.29 ,$51.70 
9/17/2019,51.95,19888220,$52.05 ,$52.14 ,$51.35 
9/18/2019,51.74,15029860,$52.13 ,$52.13 ,$51.16 
9/19/2019,51.57,11849920,$51.70 ,$51.99 ,$51.50 
9/20/2019,50.72,38632500,$51.60 ,$51.88 ,$50.56 
9/23/2019,50.9,21574150,$50.83 ,$51.23 ,$50.39 
9/24/2019,49.82,28472930,$51.10 ,$51.18 ,$49.64 
9/25/2019,51.02,20120840,$49.75 ,$51.21 ,$49.42 
9/26/2019,50.92,11482110,$50.98 ,$51.15 ,$50.34 
9/27/2019,50.78,14846410,$50.63 ,$51.22 ,$50.34 
9/30/2019,51.53,14059200,$51.19 ,$51.60 ,$50.94 
10/1/2019,50.76,18487340,$51.97 ,$52.24 ,$50.43 
10/2/2019,49.39,21437000,$50.31 ,$50.37 ,$48.98 
10/3/2019,50.03,17235570,$49.50 ,$50.07 ,$48.53 
10/4/2019,50.92,12748070,$50.35 ,$50.97 ,$50.03 
10/7/2019,50.62,12722050,$50.70 ,$51.23 ,$50.56 
10/8/2019,49.725,17884430,$50.16 ,$50.48 ,$49.61 
10/9/2019,50.48,12189960,$50.47 ,$50.79 ,$50.15 
10/10/2019,51.11,14611660,$50.41 ,$51.78 ,$50.40 
10/11/2019,52.09,24167110,$52.00 ,$52.79 ,$51.82 
10/14/2019,51.64,16425530,$51.90 ,$51.95 ,$51.44 
10/15/2019,52.65,18970760,$51.93 ,$53.07 ,$51.83 
10/16/2019,52.445,15173070,$52.35 ,$52.56 ,$52.12 
10/17/2019,51.86,16918320,$52.64 ,$52.84 ,$51.38 
10/18/2019,51.36,16975160,$51.75 ,$51.82 ,$51.03 
10/21/2019,52.13,13120650,$51.52 ,$52.17 ,$51.34 
10/22/2019,52.01,13347320,$51.90 ,$52.32 ,$51.89 
10/23/2019,51.72,15961600,$51.37 ,$51.96 ,$51.20 
10/24/2019,52.23,25654060,$52.09 ,$52.43 ,$51.43 
10/25/2019,56.46,59767680,$54.19 ,$56.61 ,$53.92 
